Date,Open,High,Low,Close,Adj Close,Volume
5/19/2021,32.98,33.459999,32.59,33.459999,33.459999,68799800
5/20/2021,33.98,34.509998,33.639999,34.330002,34.330002,48991700
5/21/2021,34.66,34.779999,33.869999,34.060001,34.060001,49568800
5/24/2021,34.259998,36.490002,33.560001,35.889999,35.889999,67244400
5/25/2021,36.32,37.639999,35.689999,36.07,36.07,76628000
5/26/2021,36.25,38.080002,36.07,37.759998,37.759998,55929000
5/27/2021,37.950001,38.98,37.18,38.91,38.91,53064400
5/28/2021,38.740002,39.759998,38.169998,38.619999,38.619999,58236000
6/1/2021,39.990002,42.439999,39.939999,42.34,42.34,101544100
6/2/2021,42.150002,42.880001,40.950001,41.16,41.16,66383500
6/3/2021,40.68,42.369999,40.310001,40.900002,40.900002,62437200
6/4/2021,41.43,42.330002,41.150002,41.939999,41.939999,40993600
6/7/2021,41.669998,43.900002,41.439999,43.68,43.68,53261300
6/8/2021,44.459999,44.889999,42.82,43.560001,43.560001,50332300
6/9/2021,43.529999,44.439999,42.73,42.740002,42.740002,36364000
6/10/2021,42.669998,43.43,42.16,42.759998,42.759998,34757300
6/11/2021,42.93,46.259998,42.759998,45.68,45.68,85733900
6/14/2021,45.950001,47.25,45.580002,46.549999,46.549999,65288400
6/15/2021,46.209999,46.380001,45.040001,45.150002,45.150002,44755600
6/16/2021,44.23,45.130001,43.77,45.02,45.02,47381500
6/17/2021,45.049999,47.759998,44.860001,47.360001,47.360001,64895500
6/18/2021,47.68,48.369999,46.59,46.91,46.91,90778400
6/21/2021,46.549999,46.990002,45.07,46.509998,46.509998,44475700
6/22/2021,45.860001,46.549999,43.810001,44.099998,44.099998,61387300
6/23/2021,44.970001,45.98,44.610001,45.41,45.41,39493500
6/24/2021,45.91,46.59,45.240002,45.459999,45.459999,37680700
6/25/2021,45.779999,45.939999,44.880001,45.07,45.07,32605400
6/28/2021,45.720001,49.650002,45.549999,49.400002,49.400002,90202800
6/29/2021,49.150002,50.610001,48.549999,50.34,50.34,64800100
6/30/2021,50.580002,53.84,50.549999,53.200001,53.200001,92031100
7/1/2021,54.77,55.130001,50.27,50.900002,50.900002,124253000
7/2/2021,51.259998,51.470001,48.529999,50.400002,50.400002,78631100
7/6/2021,49.400002,51.740002,49.18,50.290001,50.290001,67705500
7/7/2021,50.200001,50.549999,45.75,46.040001,46.040001,85812800
7/8/2021,43.860001,46.259998,42.73,45.599998,45.599998,93774800
7/9/2021,46.709999,47.009998,44.580002,45.529999,45.529999,64622800
7/12/2021,45.970001,46.82,44.599998,46.34,46.34,54668300
7/13/2021,46.200001,46.91,44.93,44.959999,44.959999,44689100
7/14/2021,44.84,45.169998,42.68,43.049999,43.049999,56805800
7/15/2021,43.259998,44.77,42.68,43.68,43.68,55860400
7/16/2021,43.849998,44.400002,42.400002,42.799999,42.799999,49929500
7/19/2021,41.490002,43.669998,40.48,43.349998,43.349998,65290100
7/20/2021,43.599998,44.41,42.43,44.169998,44.169998,37932300
7/21/2021,44.099998,47.380001,44,46.77,46.77,59851700
7/22/2021,46.959999,47.380001,45.470001,46.07,46.07,38936400
7/23/2021,43.669998,44.5,42.5,43.990002,43.990002,49559100
7/26/2021,42.669998,44.880001,41.93,43.169998,43.169998,54759200
7/27/2021,42.439999,43.299999,38.66,39.360001,39.360001,102714000
7/28/2021,40.91,42,39.790001,41.84,41.84,59207200
7/29/2021,42.25,43.299999,41.639999,42.619999,42.619999,46847600
7/30/2021,42.23,45.200001,41.529999,44.68,44.68,66262700
8/2/2021,44.650002,46.779999,44.299999,45.849998,45.849998,68453300
8/3/2021,45.23,45.799999,43.759998,44.57,44.57,46029300
8/4/2021,45.470001,45.799999,44.560001,45.09,45.09,35453600
8/5/2021,44.75,46.299999,44.02,45.599998,45.599998,33362600
8/6/2021,45.549999,45.799999,43.450001,43.84,43.84,38016400
8/9/2021,43.700001,45.48,43.700001,45.209999,45.209999,30548700
8/10/2021,45.470001,46.380001,44.099998,44.220001,44.220001,29572800
8/11/2021,44.709999,45.119999,43.150002,43.970001,43.970001,33805200
8/12/2021,44.349998,44.400002,41.549999,42.470001,42.470001,50685600
8/13/2021,41.900002,42.279999,40.610001,41.029999,41.029999,39161100
8/16/2021,39.459999,39.599998,38.07,38.619999,38.619999,66407900
8/17/2021,37.459999,39.02,36.830002,38.099998,38.099998,60838000
8/18/2021,38.490002,39.630001,37.950001,38.860001,38.860001,48277600
8/19/2021,37.889999,38.150002,36.240002,36.290001,36.290001,56718000
8/20/2021,36.630001,37.900002,36.599998,36.919998,36.919998,43491300
8/23/2021,37.439999,38.380001,37.040001,38.169998,38.169998,39610100
8/24/2021,39.240002,39.610001,38.630001,38.939999,38.939999,37927500
8/25/2021,38.66,39.139999,38.18,38.950001,38.950001,25641300
8/26/2021,38.630001,39.740002,37.82,38.259998,38.259998,34432000
8/27/2021,38.23,38.470001,37.830002,38.049999,38.049999,23496700
8/30/2021,38.169998,38.279999,36.639999,37.799999,37.799999,38128000
8/31/2021,38.240002,39.389999,37.900002,39.310001,39.310001,44942200
9/1/2021,37.490002,39.93,37.200001,39.080002,39.080002,56911500
9/2/2021,39.07,41.02,38.900002,40.349998,40.349998,43827700
9/3/2021,40.110001,40.970001,39.830002,40.369999,40.369999,30353900
9/7/2021,40.849998,41.860001,40.59,40.59,40.59,35292600
9/8/2021,39.169998,39.43,37.810001,38.139999,38.139999,51800000
9/9/2021,37.98,38.849998,37.549999,38.450001,38.450001,33812000
9/10/2021,38.619999,39.52,37.900002,37.98,37.98,29273600
9/13/2021,38.009998,38.389999,36.560001,38.389999,38.389999,38410000
9/14/2021,38.490002,39.400002,37.689999,37.889999,37.889999,30857200
9/15/2021,38,38.150002,36.950001,38.029999,38.029999,27049400
9/16/2021,37.540001,37.669998,36.740002,37.09,37.09,33023100
9/17/2021,37.299999,37.57,36.970001,37.509998,37.509998,29557200
9/20/2021,36.110001,36.32,34.540001,35.169998,35.169998,57611700
9/21/2021,35.52,35.82,34.880001,34.900002,34.900002,31706600
9/22/2021,35.209999,35.830002,35.119999,35.700001,35.700001,26608000
9/23/2021,36.200001,36.5,35.57,36.009998,36.009998,27152700
9/24/2021,35.59,36.07,35.200001,35.380001,35.380001,23755100
9/27/2021,35.43,36.860001,34.419998,36.77,36.77,36093000
9/28/2021,36.279999,37.029999,34.93,35.049999,35.049999,37507900
9/29/2021,35.439999,36.360001,35.02,35.130001,35.130001,33553400
9/30/2021,35.630001,35.98,35.290001,35.630001,35.630001,25768500
10/1/2021,36.630001,36.669998,35.259998,35.380001,35.380001,34919900
10/4/2021,35.02,35.02,33.279999,33.400002,33.400002,40823100
10/5/2021,33.299999,34.310001,33.27,33.869999,33.869999,26441300
10/6/2021,33.41,34.16,33.169998,33.66,33.66,22885100
10/7/2021,35.439999,36.639999,34.91,35.990002,35.990002,67945200
10/8/2021,36.439999,36.549999,35.830002,35.830002,35.830002,31959800
10/11/2021,36.09,36.52,35.529999,35.639999,35.639999,25400100
10/12/2021,35.700001,36.049999,35.18,35.509998,35.509998,26592000
10/13/2021,35.779999,36.68,35.470001,36.240002,36.240002,33439600
